ID,X Coordinate,Y Coordinate
1,10.582149541609473,51.08048755030606
2,10.582159180293555,51.080456672986855
3,10.58216881896524,51.0804257956668
4,10.582178457624533,51.08039491834591
5,10.582188096271429,51.08036404102419
6,10.582197734905929,51.080333163701624
7,10.582207373528036,51.08030228637822
8,10.582217012137747,51.08027140905397
9,10.58222665073506,51.08024053172889
10,10.582236289319983,51.080209654402964
11,10.582245927892508,51.080178777076206
12,10.582255566452638,51.080147899748596
13,10.582265205000374,51.08011702242016
14,10.582274843535716,51.08008614509089
15,10.582284482058661,51.08005526776078
16,10.582294120569212,51.080024390429806
17,10.582303759067369,51.07999351309802
18,10.582313397553131,51.07996263576538
19,10.582323036026498,51.07993175843191
20,10.58233267448747,51.07990088109759
21,10.582342312936047,51.079870003762444
22,10.58235195137223,51.07983912642646
23,10.582361589796017,51.079808249089616
24,10.582371228207412,51.07977737175195
25,10.58238086660641,51.07974649441344
26,10.582390504993016,51.0797156170741
27,10.582400143367225,51.07968473973391
28,10.58240978172904,51.079653862392895
29,10.582419420078464,51.079622985051024
30,10.58242905841549,51.079592107708315
31,10.582438696740123,51.07956123036478
32,10.582448335052362,51.07953035302039
33,10.582457973352206,51.07949947567516
34,10.582467611639656,51.079468598329115
35,10.58247724991471,51.079437720982206
36,10.582486888177371,51.07940684363447
37,10.582496526427638,51.079375966285895
38,10.582506164665512,51.07934508893648
39,10.582515802890992,51.079314211586215
40,10.582525441104076,51.079283334235136
41,10.582535079304767,51.07925245688319
42,10.582544717493063,51.07922157953042
43,10.582554355668968,51.07919070217681
44,10.582563993832476,51.079159824822355
45,10.582573631983593,51.07912894746706
46,10.582583270122313,51.07909807011092
47,10.58259290824864,51.07906719275397
48,10.582602546362574,51.07903631539616
49,10.582612184464114,51.079005438037505
50,10.582621822553262,51.07897456067803
51,10.582631460630015,51.078943683317696
52,10.582641098694372,51.078912805956534
53,10.58265073674634,51.078881928594534
54,10.58266037478591,51.07885105123169
55,10.582670012813088,51.078820173868
56,10.582679650827874,51.078789296503494
57,10.582689288830265,51.078758419138126
58,10.582698926820264,51.07872754177193
59,10.582708564797867,51.078696664404895
60,10.582718202763079,51.07866578703702
61,10.582727840715897,51.07863490966831
62,10.582737478656322,51.07860403229875
63,10.582747116584354,51.07857315492835
64,10.582756754499991,51.078542277557126
65,10.582766392403236,51.078511400185064
66,10.582776030294088,51.07848052281215
67,10.582785668172544,51.0784496454384
68,10.582795306038612,51.07841876806381
69,10.582804943892283,51.078387890688376
70,10.582814581733562,51.078357013312115
71,10.582824219562449,51.07832613593501
72,10.582833857378942,51.07829525855706
73,10.582843495183042,51.07826438117828
74,10.582853132974748,51.07823350379866
75,10.582862770754064,51.0782026264182
76,10.582872408520986,51.0781717490369
77,10.582882046275513,51.07814087165476
78,10.582891684017648,51.07810999427178
79,10.582901321747393,51.07807911688796
80,10.582910959464744,51.0780482395033
81,10.582920597169702,51.07801736211781
82,10.582930234862266,51.07798648473148
83,10.582939872542438,51.0779556073443
84,10.582949510210218,51.077924729956294
85,10.582959147865605,51.07789385256744
86,10.5829687855086,51.077862975177744
87,10.582978423139203,51.07783209778722
88,10.582988060757414,51.07780122039585
89,10.58299769836323,51.07777034300364
90,10.583007335956655,51.0777394656106
91,10.583016973537687,51.077708588216716
92,10.583026611106328,51.07767771082199
93,10.583036248662577,51.07764683342643
94,10.583045886206433,51.07761595603004
95,10.583055523737897,51.0775850786328
96,10.583065161256966,51.07755420123472
97,10.583074798763645,51.0775233238358
98,10.583084436257934,51.07749244643604
99,10.58309407373983,51.07746156903544
100,10.583103711209333,51.07743069163401
101,10.583113348666442,51.07739981423173
102,10.583122986111162,51.07736893682863
103,10.58313262354349,51.077338059424676
104,10.583142260963422,51.07730718201988
105,10.583151898370966,51.07727630461425
106,10.583161535766118,51.077245427207785
107,10.583171173148877,51.07721454980047
108,10.583180810519245,51.07718367239233
109,10.583190447877222,51.07715279498334
110,10.583200085222805,51.07712191757352
111,10.583209722555997,51.077091040162856
112,10.583219359876798,51.07706016275135
113,10.583228997185207,51.07702928533901
114,10.583238634481225,51.07699840792582
115,10.583248271764852,51.07696753051181
116,10.583257909036085,51.07693665309695
117,10.583267546294929,51.076905775681254
118,10.58327718354138,51.07687489826473
119,10.58328682077544,51.07684402084735
120,10.58329645799711,51.076813143429135
121,10.583306095206385,51.07678226601008
122,10.583315732403271,51.07675138859019
123,10.583325369587767,51.07672051116946
124,10.58333500675987,51.0766896337479
125,10.583344643919583,51.07665875632549
126,10.583354281066903,51.076627878902244
127,10.583363918201833,51.07659700147816
128,10.583373555324371,51.076566124053244
129,10.58338319243452,51.07653524662748
130,10.583392829532276,51.076504369200876
131,10.583402466617642,51.07647349177344
132,10.583412103690616,51.076442614345154
133,10.5834217407512,51.076411736916036
134,10.583431377799393,51.076380859486086
135,10.583441014835195,51.076349982055284
136,10.583450651858604,51.07631910462364
137,10.583460288869626,51.07628822719118
138,10.583469925868254,51.07625734975787
139,10.583479562854492,51.07622647232372
140,10.583489199828339,51.076195594888716
141,10.583498836789797,51.07616471745289
142,10.583508473738862,51.076133840016226
143,10.583518110675538,51.07610296257872
144,10.583527747599824,51.07607208514038
145,10.583537384511718,51.076041207701195
146,10.58354702141122,51.07601033026117
147,10.583556658298336,51.07597945282031
148,10.582196813050748,51.08047736962557
149,10.582206451701303,51.080446492302706
150,10.582216090339463,51.08041561497901
151,10.582225728965227,51.08038473765446
152,10.582235367578596,51.0803538603291
153,10.58224500617957,51.08032298300287
154,10.582254644768149,51.08029210567581
